,E,T,C
0,1000.0,10000.0,0.0
1,599.0,9666.0,401.0
2,480.0,9611.5,520.0
3,446.0,9638.5,554.0
4,441.0,9695.5,559.0
5,435.0,9756.0,565.0
6,436.0,9815.5,564.0
7,437.0,9883.5,563.0
8,435.0,9942.5,565.0
9,437.0,10014.0,563.0
10,438.0,10080.5,562.0
11,435.5,10145.0,564.5
12,432.0,10211.5,568.0
13,433.0,10280.5,567.0
14,433.0,10346.5,567.0
15,434.5,10418.0,565.5
16,432.0,10482.0,568.0
17,432.0,10558.0,568.0
18,434.0,10625.5,566.0
19,436.5,10694.0,563.5
20,436.0,10759.0,564.0
21,435.0,10836.0,565.0
22,437.0,10909.0,563.0
23,433.0,10977.5,567.0
24,433.0,11046.0,567.0
25,433.0,11123.0,567.0
26,436.5,11196.5,563.5
27,432.0,11272.5,568.0
28,435.0,11348.0,565.0
29,435.0,11422.0,565.0
30,434.0,11497.0,566.0
31,436.0,11573.5,564.0
32,432.5,11651.0,567.5
33,434.0,11731.0,566.0
34,436.0,11808.5,564.0
35,432.5,11887.0,567.5
36,435.5,11968.5,564.5
37,435.5,12053.0,564.5
38,436.0,12128.0,564.0
39,434.0,12210.0,566.0
40,435.5,12290.0,564.5
41,431.0,12368.0,569.0
42,435.0,12453.5,565.0
43,435.5,12538.5,564.5
44,434.0,12615.5,566.0
45,433.0,12699.0,567.0
46,428.5,12795.5,571.5
47,431.5,12870.5,568.5
48,435.5,12976.5,564.5
49,435.5,13057.0,564.5
50,435.5,13144.5,564.5
51,436.5,13226.5,563.5
52,438.5,13323.0,561.5
53,434.0,13409.0,566.0
54,435.0,13496.0,565.0
55,433.0,13580.5,567.0
56,432.5,13676.5,567.5
57,437.0,13773.0,563.0
58,437.5,13871.5,562.5
59,437.5,13960.0,562.5
60,435.0,14040.0,565.0
61,434.0,14143.5,566.0
62,436.0,14244.0,564.0
63,435.5,14341.0,564.5
64,436.0,14439.5,564.0
65,433.5,14534.0,566.5
66,431.0,14621.0,569.0
67,435.0,14724.5,565.0
68,432.0,14829.0,568.0
69,432.5,14931.5,567.5
70,435.0,15035.0,565.0
71,432.0,15128.5,568.0
72,435.0,15240.5,565.0
73,435.0,15338.5,565.0
74,432.0,15443.5,568.0
75,435.0,15540.5,565.0
76,437.0,15647.0,563.0
77,434.5,15745.5,565.5
78,435.0,15855.0,565.0
79,433.0,15967.0,567.0
80,433.5,16073.0,566.5
81,432.5,16186.0,567.5
82,439.5,16305.5,560.5
83,433.0,16397.0,567.0
84,433.5,16501.5,566.5
85,435.0,16616.5,565.0
86,433.0,16725.5,567.0
87,437.0,16842.5,563.0
88,436.0,16950.5,564.0
89,434.0,17074.5,566.0
90,434.0,17184.5,566.0
91,434.0,17300.0,566.0
92,434.0,17416.5,566.0
93,434.5,17527.0,565.5
94,435.0,17657.0,565.0
95,431.5,17769.0,568.5
96,433.0,17888.5,567.0
