time_trial_(hrs),tumor_cells_trial1_(ci),cart_cells_trial1_(ci),tumor_cells_trial2_(ci),cart_cells_trial2_(ci)
33.3375,1.1492243569844600,0.09029798676289630,0.6843356275568710,0.10725798062008300
33.5875,1.1972585409140100,0.09040727945617610,0.7768981262100900,0.10672134121698000
33.837778,1.2452293101937800,0.09055710548663920,0.8679026942291480,0.10623483087440500
34.088056,1.2930719509790700,0.0907468142957322,0.9572589294715570,0.1057984451328490
34.338056,1.3407223185496000,0.09097557817255770,1.0448837514014200,0.10541195688807400
34.588333,1.388274968966730,0.09124335356605010,1.1309851396307500,0.10507387880340900
34.838056,1.435561072650220,0.0915486378267241,1.215293294358950,0.10478462553951500
35.088333,1.4827792158592600,0.09189223481321430,1.298195714088450,0.10454228524884700
35.338611,1.529813261723110,0.09227295928778040,1.3795173668848300,0.10434692247923100
35.588889,1.576651782152190,0.09269025826664030,1.4592713735917800,0.10419790867012800
35.838889,1.6232318600194400,0.09314305674977180,1.5373851851050400,0.1040947038031070
36.089167,1.6696458607461800,0.09363181058572880,1.61404596935246,0.1040364493096980
36.339444,1.7158304472426100,0.09415548231991640,1.6891791611869000,0.10402265557273800
36.589167,1.7616731407970500,0.09471224936004630,1.7626372269922600,0.10405257822493800
36.839444,1.807366123379030,0.0953040313727466,1.8347595243367000,0.10412572157551200
37.089444,1.852746054364100,0.09592836937752990,1.9053175138050800,0.10424128653273700
37.339722,1.8979024469669900,0.09658609842953170,1.9744812680186100,0.10439890086587400
37.589722,1.9427237728771800,0.09727520700503310,2.0421105605516400,0.10459758632061000
37.84,1.987298486051630,0.09799667650623350,2.1083692417618200,0.10483715573255100
38.090278,2.0315653455275600,0.09874920671969800,2.173194754730470,0.10511678136915000
38.340278,2.075464477774570,0.09953135946572720,2.236530908422170,0.10543545757509600
38.590556,2.1190822857909400,0.10034432307675600,2.2985320052538000,0.10579326404542800
38.840556,2.162310659277430,0.10118574117088800,2.3590737308555100,0.10618877779306200
39.090833,2.2052343386799000,0.10205693034888100,2.418303938915260,0.10662224759361200
39.340833,2.247747098392170,0.1029554118349170,2.4761049434215700,0.10709208583382900
39.591111,2.2899320859030000,0.10388262925292500,2.532618497214170,0.10759870673572900
39.841111,2.3316843739664400,0.10483597240279100,2.587732476662840,0.10814035671655600
40.091389,2.3730855909992800,0.1058170103444060,2.641582898068940,0.10871761136502400
40.341667,2.414077852658720,0.10682414627928300,2.6941211887640400,0.109329258426448
40.591389,2.4545602618165400,0.10785450648163700,2.7452484030739800,0.10997319752566800
40.841667,2.494701866409210,0.10891212843071500,2.795205638378370,0.11065166763394900
41.091389,2.534313129847600,0.10999176401499400,2.843784322315530,0.11136102767075200
41.341667,2.573559220898390,0.11109767013461600,2.891214203782490,0.11210380792361500
41.591667,2.612297396763640,0.11222565119503800,2.9373485560953800,0.1128769584048670
41.841944,2.650602430390650,0.11337766000313500,2.9823032476873600,0.1136815662851310
42.092222,2.6884200516086800,0.11455191262769600,3.026040102698290,0.11451616586717400
42.341944,2.7256565235989600,0.11574517237940000,3.0684792326565400,0.11537817299018700
42.591389,2.7623447842209300,0.11695811703329000,3.1096874035287000,0.11626777979202900
42.841389,2.7985951789924000,0.11819427876110700,3.149813461736250,0.11718737509999900
43.091667,2.8343537279049000,0.11945183995883300,3.188820504504120,0.11813545175349600
43.341667,2.869529780236410,0.12072745655784700,3.2266352994355700,0.11910927546271700
43.591944,2.9041902014907800,0.12202340913903000,3.2633552449827000,0.12011037891923000
43.841944,2.9382470571753400,0.12333627869264000,3.298912482666850,0.12113591802579000
44.092222,2.971764721460950,0.1246684287246780,3.333399385615160,0.12218754059249700
44.3425,3.004693767544040,0.12601785774537200,3.3667892477132000,0.12326349069010000
44.5925,3.036987383160390,0.1273824875147010,3.3990602357105600,0.12436190433070400
44.842778,3.0687061606392600,0.12876480179399900,3.4302975630956,0.12548459534540000
45.092778,3.099768423730700,0.1301611793719750,3.4604452581247400,0.12662844153340400
45.342778,3.130198543963550,0.13157259695335000,3.4895520197872200,0.12779404973133800
45.592778,3.1599853196752600,0.13299850468864000,3.5176312585589200,0.12898079241144300
45.842778,3.1891175492033000,0.13443835272836600,3.544696384915710,0.13018804204596100
46.093056,3.217615310886350,0.13589321447347300,3.57078924094352,0.13141654650691200
46.343056,3.2454040840565600,0.13735930754632100,3.595865283494480,0.13266294852580300
46.593333,3.2725343352655300,0.13883933542520000,3.619993630023690,0.13392938596328600
46.843333,3.2989347984088300,0.1403294716409740,3.643134294153630,0.13521242739277300
47.093611,3.324652849658390,0.14183247319199600,3.6653520851848600,0.13651429223428500
47.343611,3.349620143555560,0.14334445075662000,3.686611068541330,0.13783146024706900
47.593611,3.3738544423073700,0.14486651784720900,3.7069498574976600,0.1391647404290410
47.843611,3.397344544251310,0.14639812461428100,3.7263818625297200,0.14051350525244300
48.093611,3.4200792477248400,0.14793872120835500,3.7449204941133700,0.14187712718951800
48.343889,3.4420713487336800,0.14948948480231200,3.7625983143396300,0.14325651857085700
48.593889,3.4632607791281400,0.15104641996971100,3.7793894743122300,0.14464798692820100
48.844167,3.483683435529550,0.15261243815909300,3.7953447603819900,0.1460539978463290
49.094167,3.5032827363559400,0.1541835100554800,3.8104421503133700,0.14747079972089100
49.344167,3.5220706054867600,0.1557608213085950,3.824713249000580,0.14889931967471500
49.594167,3.5400358412594700,0.1573438220689570,3.8381714669195,0.1503389301800460
49.842778,3.557074384045660,0.158923125590131,3.850762066503560,0.15178091934832300
50.092222,3.5733301884978,0.1605122849662320,3.862613532454930,0.15323751828800900
50.3425,3.588783704037850,0.16211080346563900,3.8737314550951100,0.1547082045415860
50.592778,3.60336792416933,0.16371282351524000,3.8840883597643600,0.15618749452281500
50.842778,3.6170568808919000,0.16531600925252300,3.8936874377550000,0.15767310241651400
51.093056,3.629869789773460,0.16692337498729500,3.902563480227540,0.15916770317379100
51.343333,3.6417796527441200,0.1685325813949380,3.910718824409010,0.16066901347635400
51.593611,3.6527753259418900,0.1701430896508720,3.918166990688110,0.16217641569996900
51.843889,3.6628455208957300,0.17175434164289600,3.924921400311800,0.16368927423552100
52.093611,3.6719643381339300,0.17336220600877800,3.9309827587770300,0.1652035829920350
