,E,T,C
0,1000.0,1000.0,0.0
1,747.0,752.0,253.0
2,676.0,683.5,324.0
3,649.5,659.0,350.5
4,637.5,648.5,362.5
5,628.5,644.5,371.5
6,626.0,640.5,374.0
7,622.5,641.0,377.5
8,621.5,640.0,378.5
9,616.0,639.0,384.0
10,615.0,640.0,385.0
11,614.0,640.0,386.0
12,614.0,641.0,386.0
13,615.5,642.0,384.5
14,612.0,644.0,388.0
15,610.0,643.0,390.0
16,614.0,649.0,386.0
17,615.0,651.0,385.0
18,615.0,651.5,385.0
19,613.0,649.5,387.0
20,611.0,650.5,389.0
21,612.0,654.5,388.0
22,608.5,651.0,391.5
23,611.0,654.0,389.0
24,609.0,658.0,391.0
25,609.0,657.0,391.0
26,608.0,660.5,392.0
27,608.0,662.0,392.0
28,608.0,659.5,392.0
29,607.0,662.0,393.0
30,607.0,665.0,393.0
31,606.5,669.0,393.5
32,608.0,666.5,392.0
33,608.0,671.0,392.0
34,605.0,670.5,395.0
35,604.5,672.0,395.5
36,603.0,673.5,397.0
37,603.0,673.0,397.0
38,604.0,676.0,396.0
39,605.5,679.0,394.5
40,604.0,679.0,396.0
41,604.5,681.5,395.5
42,600.0,681.0,400.0
43,600.0,683.0,400.0
44,601.5,687.0,398.5
45,601.5,691.5,398.5
46,598.5,690.5,401.5
47,602.0,691.0,398.0
48,599.0,693.5,401.0
49,603.0,696.5,397.0
50,600.0,696.0,400.0
51,599.0,701.0,401.0
52,599.0,702.0,401.0
53,602.0,705.0,398.0
54,603.0,706.0,397.0
55,601.0,707.0,399.0
56,597.0,708.0,403.0
57,599.5,710.5,400.5
58,598.0,710.5,402.0
59,597.5,711.5,402.5
60,600.0,714.0,400.0
61,596.5,714.0,403.5
62,599.5,720.5,400.5
63,597.0,718.5,403.0
64,597.0,721.5,403.0
65,596.0,722.0,404.0
66,596.0,727.0,404.0
67,594.5,727.0,405.5
68,593.5,729.0,406.5
69,594.5,727.0,405.5
70,594.5,733.0,405.5
71,593.5,736.5,406.5
72,593.0,735.5,407.0
73,597.0,735.5,403.0
74,595.5,738.0,404.5
75,594.5,740.5,405.5
76,595.0,744.5,405.0
77,588.0,741.0,412.0
78,588.5,742.0,411.5
79,594.5,750.0,405.5
80,592.5,752.0,407.5
81,593.0,758.0,407.0
82,589.0,758.5,411.0
83,588.0,756.0,412.0
84,589.5,760.0,410.5
85,586.0,755.5,414.0
86,588.0,761.5,412.0
87,588.5,766.0,411.5
88,585.5,765.5,414.5
89,586.0,764.5,414.0
90,586.0,772.5,414.0
91,586.5,769.0,413.5
92,586.0,773.5,414.0
93,582.0,775.0,418.0
94,582.5,771.0,417.5
95,582.0,777.0,418.0
96,585.0,783.0,415.0
