,E,T,C
0,10000.0,1000.0,0.0
1,9023.0,23.5,977.0
2,9298.0,294.0,702.0
3,9223.5,217.0,776.5
4,9247.0,236.5,753.0
5,9244.0,229.5,756.0
6,9250.0,232.0,750.0
7,9251.5,230.0,748.5
8,9251.0,225.0,749.0
9,9259.0,229.5,741.0
10,9258.5,224.5,741.5
11,9263.0,226.0,737.0
12,9267.0,225.5,733.0
13,9270.0,227.5,730.0
14,9271.0,224.0,729.0
15,9275.5,222.5,724.5
16,9276.0,219.5,724.0
17,9277.5,222.0,722.5
18,9282.5,220.0,717.5
19,9285.0,217.5,715.0
20,9290.0,220.0,710.0
21,9289.0,218.0,711.0
22,9291.5,216.0,708.5
23,9296.0,218.5,704.0
24,9296.0,212.5,704.0
25,9302.5,217.0,697.5
26,9301.5,214.5,698.5
27,9308.0,214.0,692.0
28,9308.0,211.0,692.0
29,9310.0,212.5,690.0
30,9312.5,212.0,687.5
31,9318.0,208.5,682.0
32,9319.0,210.0,681.0
33,9323.0,206.5,677.0
34,9321.0,207.5,679.0
35,9326.0,208.0,674.0
36,9326.5,204.5,673.5
37,9331.0,207.0,669.0
38,9335.0,204.0,665.0
39,9337.0,203.0,663.0
40,9338.0,203.5,662.0
41,9341.0,202.5,659.0
42,9343.5,199.5,656.5
43,9344.0,200.0,656.0
44,9349.0,198.0,651.0
45,9352.5,199.0,647.5
46,9352.5,198.0,647.5
47,9357.5,197.0,642.5
48,9357.5,196.0,642.5
49,9362.0,199.0,638.0
50,9361.5,193.0,638.5
51,9368.5,195.0,631.5
52,9366.0,194.0,634.0
53,9370.5,191.5,629.5
54,9372.5,192.0,627.5
55,9373.0,191.5,627.0
56,9378.0,191.5,622.0
57,9377.0,190.0,623.0
58,9383.0,193.0,617.0
59,9384.0,187.0,616.0
60,9387.0,188.5,613.0
61,9390.0,186.0,610.0
62,9394.0,187.0,606.0
63,9393.0,184.5,607.0
64,9395.0,187.0,605.0
65,9400.0,184.0,600.0
66,9401.0,186.0,599.0
67,9403.0,187.0,597.0
68,9406.0,183.0,594.0
69,9407.5,182.5,592.5
70,9409.0,181.0,591.0
71,9415.0,184.0,585.0
72,9413.0,178.0,587.0
73,9412.0,176.5,588.0
74,9418.0,180.0,582.0
75,9419.0,176.0,581.0
76,9419.0,175.5,581.0
77,9422.5,173.0,577.5
78,9427.0,175.0,573.0
79,9427.0,173.0,573.0
80,9429.5,174.5,570.5
81,9434.0,172.0,566.0
82,9435.5,172.0,564.5
83,9441.0,174.5,559.0
84,9442.0,171.5,558.0
85,9443.0,169.5,557.0
86,9444.0,170.5,556.0
87,9446.0,167.5,554.0
88,9451.0,167.5,549.0
89,9452.0,167.0,548.0
90,9453.0,166.0,547.0
91,9454.5,168.0,545.5
92,9456.0,165.0,544.0
93,9457.5,166.0,542.5
94,9462.0,165.5,538.0
95,9462.5,165.0,537.5
96,9464.0,165.0,536.0
