,E,T,C
0,100.0,10000.0,0.0
1,60.0,10027.5,40.0
2,49.0,10086.0,51.0
3,46.0,10156.0,54.0
4,45.0,10225.0,55.0
5,44.5,10292.5,55.5
6,43.0,10364.0,57.0
7,44.0,10436.0,56.0
8,43.0,10504.5,57.0
9,43.0,10577.0,57.0
10,44.0,10651.5,56.0
11,45.0,10723.5,55.0
12,43.5,10798.0,56.5
13,43.0,10875.5,57.0
14,43.0,10951.5,57.0
15,43.0,11025.5,57.0
16,43.0,11105.0,57.0
17,42.0,11182.5,58.0
18,42.0,11259.0,58.0
19,42.0,11337.0,58.0
20,43.0,11418.0,57.0
21,44.0,11494.0,56.0
22,43.5,11576.0,56.5
23,43.0,11653.5,57.0
24,44.5,11736.5,55.5
25,44.0,11819.0,56.0
26,43.0,11898.0,57.0
27,43.0,11985.0,57.0
28,43.0,12074.0,57.0
29,44.5,12157.0,55.5
30,44.0,12246.5,56.0
31,43.0,12326.5,57.0
32,43.0,12415.0,57.0
33,44.0,12502.5,56.0
34,44.0,12589.5,56.0
35,44.0,12672.0,56.0
36,44.0,12760.5,56.0
37,44.0,12853.5,56.0
38,44.0,12943.5,56.0
39,45.0,13038.0,55.0
40,44.0,13125.0,56.0
41,43.0,13212.5,57.0
42,43.0,13302.5,57.0
43,42.0,13398.5,58.0
44,43.0,13490.5,57.0
45,44.0,13588.0,56.0
46,43.0,13680.5,57.0
47,45.0,13780.0,55.0
48,44.5,13873.5,55.5
49,44.0,13977.0,56.0
50,43.0,14075.0,57.0
51,44.0,14173.0,56.0
52,44.0,14268.5,56.0
53,44.0,14370.5,56.0
54,44.0,14468.5,56.0
55,43.0,14565.0,57.0
56,43.0,14670.0,57.0
57,43.0,14772.5,57.0
58,44.0,14874.0,56.0
59,43.0,14978.5,57.0
60,43.0,15077.5,57.0
61,44.0,15191.5,56.0
62,45.0,15293.5,55.0
63,44.0,15402.5,56.0
64,44.0,15513.0,56.0
65,43.0,15621.0,57.0
66,43.0,15735.0,57.0
67,44.0,15843.5,56.0
68,43.0,15956.5,57.0
69,43.5,16067.0,56.5
70,43.0,16173.5,57.0
71,43.0,16291.0,57.0
72,43.0,16404.0,57.0
73,42.0,16510.5,58.0
74,43.0,16633.5,57.0
75,44.0,16740.0,56.0
76,43.0,16859.5,57.0
77,43.5,16980.0,56.5
78,43.0,17103.5,57.0
79,42.5,17218.0,57.5
80,43.0,17340.0,57.0
81,44.0,17458.5,56.0
82,43.0,17581.0,57.0
83,43.0,17698.0,57.0
84,43.0,17823.5,57.0
85,43.0,17943.5,57.0
86,44.0,18067.0,56.0
87,44.0,18207.5,56.0
88,42.0,18325.0,58.0
89,44.0,18453.5,56.0
90,43.5,18579.0,56.5
91,44.0,18712.0,56.0
92,44.0,18846.5,56.0
93,43.0,18970.5,57.0
94,44.0,19102.5,56.0
95,43.0,19239.0,57.0
96,43.0,19369.0,57.0
