,E,T,C
0,10000.0,100.0,0.0
1,9901.0,1.0,99.0
2,9931.0,31.0,69.0
3,9922.0,21.0,78.0
4,9925.0,25.0,75.0
5,9924.0,22.0,76.0
6,9925.0,23.0,75.0
7,9925.0,23.0,75.0
8,9925.0,23.5,75.0
9,9926.0,23.0,74.0
10,9925.5,22.0,74.5
11,9927.0,24.0,73.0
12,9925.5,22.0,74.5
13,9927.0,23.0,73.0
14,9927.0,22.0,73.0
15,9927.0,22.0,73.0
16,9928.0,22.0,72.0
17,9928.0,22.0,72.0
18,9928.0,22.5,72.0
19,9928.0,22.0,72.0
20,9928.0,21.5,72.0
21,9929.0,21.0,71.0
22,9929.0,21.0,71.0
23,9929.0,21.0,71.0
24,9930.0,22.0,70.0
25,9928.5,20.0,71.5
26,9930.0,21.0,70.0
27,9931.0,22.0,69.0
28,9930.0,21.0,70.0
29,9931.0,21.5,69.0
30,9932.0,22.0,68.0
31,9931.5,20.0,68.5
32,9932.0,22.5,68.0
33,9931.0,21.0,69.0
34,9932.5,21.5,67.5
35,9933.0,21.0,67.0
36,9932.0,20.0,68.0
37,9933.0,20.0,67.0
38,9934.0,21.0,66.0
39,9932.0,20.0,68.0
40,9933.0,20.0,67.0
41,9934.0,20.0,66.0
42,9934.5,20.0,65.5
43,9934.5,20.0,65.5
44,9934.0,20.0,66.0
45,9935.0,20.0,65.0
46,9936.0,20.0,64.0
47,9936.0,20.0,64.0
48,9934.5,19.0,65.5
49,9936.0,20.0,64.0
50,9935.0,19.0,65.0
51,9936.0,19.0,64.0
52,9936.5,18.0,63.5
53,9937.0,19.0,63.0
54,9937.0,19.0,63.0
55,9937.0,19.0,63.0
56,9938.0,19.0,62.0
57,9938.0,19.5,62.0
58,9937.5,18.0,62.5
59,9938.0,19.0,62.0
60,9938.0,19.0,62.0
61,9938.0,19.0,62.0
62,9939.0,19.0,61.0
63,9938.0,18.0,62.0
64,9938.0,18.0,62.0
65,9940.5,19.0,59.5
66,9939.0,17.0,61.0
67,9940.0,18.0,60.0
68,9940.0,18.0,60.0
69,9940.0,17.0,60.0
70,9941.5,18.5,58.5
71,9940.0,18.0,60.0
72,9941.5,17.0,58.5
73,9942.0,18.0,58.0
74,9941.5,17.0,58.5
75,9941.5,18.0,58.5
76,9941.0,17.0,59.0
77,9942.0,17.0,58.0
78,9942.0,18.0,58.0
79,9942.0,17.0,58.0
80,9943.0,18.0,57.0
81,9942.0,17.5,58.0
82,9943.0,17.0,57.0
83,9943.0,17.0,57.0
84,9944.0,17.0,56.0
85,9944.0,17.0,56.0
86,9943.0,17.0,57.0
87,9945.0,17.0,55.0
88,9944.0,17.0,56.0
89,9945.0,17.0,55.0
90,9945.0,16.0,55.0
91,9945.5,17.0,54.5
92,9944.5,17.0,55.5
93,9945.5,16.0,54.5
94,9946.0,17.0,54.0
95,9945.0,16.0,55.0
96,9946.0,17.0,54.0
