,E,T,C
0,100.0,100.0,0.0
1,96.0,96.5,4.0
2,93.0,94.0,7.0
3,92.0,94.0,8.0
4,91.0,93.0,9.0
5,90.0,93.0,10.0
6,90.0,93.5,10.0
7,90.0,93.0,10.0
8,89.0,94.0,11.0
9,89.0,94.0,11.0
10,89.5,95.0,10.5
11,90.0,95.0,10.0
12,89.0,95.0,11.0
13,89.0,96.5,11.0
14,88.0,97.0,12.0
15,88.0,97.0,12.0
16,88.5,97.0,11.5
17,88.0,99.0,12.0
18,88.0,99.0,12.0
19,89.0,100.0,11.0
20,88.0,100.0,12.0
21,88.5,101.0,11.5
22,88.0,102.0,12.0
23,88.0,102.0,12.0
24,88.0,103.0,12.0
25,88.0,104.0,12.0
26,89.0,106.0,11.0
27,88.0,105.0,12.0
28,88.0,106.0,12.0
29,88.0,106.0,12.0
30,88.0,107.0,12.0
31,89.0,108.5,11.0
32,88.0,109.0,12.0
33,88.0,110.0,12.0
34,89.0,110.0,11.0
35,88.0,110.5,12.0
36,88.0,111.0,12.0
37,87.5,111.0,12.5
38,88.0,112.0,12.0
39,87.0,113.0,13.0
40,88.0,114.0,12.0
41,88.0,115.0,12.0
42,88.0,115.0,12.0
43,88.0,115.0,12.0
44,88.0,117.0,12.0
45,88.0,117.0,12.0
46,88.0,118.0,12.0
47,87.5,119.0,12.5
48,87.0,120.0,13.0
49,88.0,121.0,12.0
50,88.0,121.0,12.0
51,87.0,122.5,13.0
52,87.0,122.5,13.0
53,88.0,123.0,12.0
54,88.0,125.0,12.0
55,88.0,125.0,12.0
56,88.0,125.5,12.0
57,87.5,126.5,12.5
58,88.0,127.0,12.0
59,88.0,128.0,12.0
60,88.0,129.0,12.0
61,88.0,129.0,12.0
62,87.0,129.0,13.0
63,88.0,130.0,12.0
64,87.0,131.5,13.0
65,88.0,132.0,12.0
66,88.0,133.0,12.0
67,87.0,133.0,13.0
68,87.0,135.0,13.0
69,87.0,136.0,13.0
70,88.0,138.0,12.0
71,87.0,137.5,13.0
72,86.0,138.5,14.0
73,87.0,138.5,13.0
74,87.0,140.0,13.0
75,87.0,140.0,13.0
76,87.0,141.0,13.0
77,86.5,142.0,13.5
78,87.0,142.5,13.0
79,86.0,143.0,14.0
80,86.0,144.0,14.0
81,86.5,145.0,13.5
82,86.0,147.0,14.0
83,86.5,146.5,13.5
84,86.0,147.0,14.0
85,86.0,149.5,14.0
86,86.0,151.0,14.0
87,87.0,152.0,13.0
88,87.0,152.5,13.0
89,86.0,154.0,14.0
90,87.0,153.0,13.0
91,85.0,154.0,15.0
92,86.0,157.0,14.0
93,86.0,157.5,14.0
94,86.0,157.5,14.0
95,86.0,157.5,14.0
96,86.0,160.0,14.0
