Time,tumor_cells_E1,tumor_cells_E2,tumor_cells_F1,tumor_cells_F2,tumor_cells_G1,tumor_cells_G2,CART_cells_E1,CART_cells_E2,CART_cells_F1,CART_cells_F2,CART_cells_G1,CART_cells_G2
160.21,30042,34409,11616,14684,786,630,,,,,,
160.46,30163,34449,11690,14707,789,634,,,,,,
160.71,30279,34367,11701,14769,792,638,,,,,,
160.97,30308,34268,11746,14766,778,628,,,,,,
161.22,30420,34336,11770,14865,775,618,,,,,,
161.48,30510,34424,11716,14883,775,620,,,,,,
161.72,30542,34519,11711,14913,783,618,,,,,,
161.97,30594,34633,11690,14967,783,642,,,,,,
162.23,30799,35024,11827,15020,779,632,,,,,,
162.48,31046,35286,12024,15143,788,635,,,,,,
162.73,31050,35202,12037,15384,780,646,,,,,,
162.98,30813,35069,11925,15308,765,626,,,,,,
163.23,30730,35056,11918,15236,766,612,,,,,,
163.48,30772,35199,11921,15213,755,620,,,,,,
163.73,30843,35373,11974,15178,766,614,,,,,,
163.98,30904,35425,12042,15166,749,620,,,,,,
164.24,30926,35462,12014,15239,768,612,,,,,,
164.49,30919,35436,12019,15322,750,622,1984,2344,3720,2692,5681,5479
