,E,T,C
0,100.0,1000.0,0.0
1,72.0,979.0,28.0
2,62.0,973.5,38.0
3,56.0,976.0,44.0
4,55.0,981.0,45.0
5,54.0,986.0,46.0
6,54.0,993.0,46.0
7,55.0,1000.5,45.0
8,54.0,1008.0,46.0
9,53.0,1014.5,47.0
10,53.0,1020.5,47.0
11,53.5,1027.0,46.5
12,53.0,1033.0,47.0
13,53.0,1041.0,47.0
14,53.0,1046.5,47.0
15,52.0,1053.0,48.0
16,53.0,1061.0,47.0
17,53.0,1067.0,47.0
18,53.0,1075.0,47.0
19,53.0,1082.5,47.0
20,53.0,1088.0,47.0
21,52.5,1096.0,47.5
22,54.0,1105.0,46.0
23,53.0,1110.0,47.0
24,53.0,1118.0,47.0
25,53.0,1126.0,47.0
26,54.0,1134.0,46.0
27,51.0,1140.0,49.0
28,51.0,1146.0,49.0
29,52.0,1155.0,48.0
30,52.0,1163.0,48.0
31,52.0,1169.5,48.0
32,52.0,1177.5,48.0
33,51.0,1184.0,49.0
34,52.0,1195.5,48.0
35,51.0,1201.0,49.0
36,52.0,1211.0,48.0
37,51.0,1220.5,49.0
38,52.0,1226.5,48.0
39,52.0,1237.5,48.0
40,51.0,1243.5,49.0
41,53.0,1252.5,47.0
42,50.0,1261.0,50.0
43,51.0,1270.5,49.0
44,51.0,1279.5,49.0
45,51.0,1286.5,49.0
46,52.0,1297.0,48.0
47,51.0,1304.0,49.0
48,50.0,1313.0,50.0
49,50.0,1318.5,50.0
50,50.0,1327.5,50.0
51,51.0,1337.0,49.0
52,50.0,1346.0,50.0
53,50.0,1356.5,50.0
54,51.0,1364.5,49.0
55,52.0,1373.5,48.0
56,50.0,1381.5,50.0
57,52.0,1391.0,48.0
58,51.0,1403.5,49.0
59,51.0,1411.0,49.0
60,51.0,1420.0,49.0
61,51.0,1430.5,49.0
62,52.0,1441.0,48.0
63,51.0,1452.0,49.0
64,51.0,1460.0,49.0
65,51.0,1467.5,49.0
66,50.0,1480.0,50.0
67,50.0,1489.0,50.0
68,51.0,1501.0,49.0
69,51.0,1508.0,49.0
70,51.0,1518.5,49.0
71,51.0,1530.0,49.0
72,51.0,1537.0,49.0
73,51.0,1550.0,49.0
74,51.0,1561.0,49.0
75,50.0,1569.5,50.0
76,50.5,1579.5,49.5
77,50.0,1588.0,50.0
78,50.0,1597.0,50.0
79,51.0,1610.0,49.0
80,50.0,1622.5,50.0
81,51.0,1635.0,49.0
82,50.0,1644.5,50.0
83,51.0,1656.5,49.0
84,50.0,1670.0,50.0
85,49.0,1678.5,51.0
86,50.5,1691.0,49.5
87,50.0,1703.5,50.0
88,51.0,1712.5,49.0
89,51.0,1727.5,49.0
90,50.0,1737.5,50.0
91,50.0,1746.0,50.0
92,50.0,1758.5,50.0
93,50.5,1770.0,49.5
94,49.5,1782.0,50.5
95,50.5,1794.0,49.5
96,50.0,1803.0,50.0
