timestep,E_mean,T_mean,C_mean,E_std,T_std,C_std
116,74.39,2801.27,25.61,7.870063532145089,1311.159180687074,7.870063532145089
117,73.92,2936.66,26.08,8.225180849075603,1376.0350520244751,8.225180849075603
118,74.04,3079.15,25.96,7.8139874583979205,1447.2313455353294,7.8139874583979205
119,73.76,3227.42,26.24,7.81168355733897,1519.1890019349144,7.81168355733897
120,72.95,3383.11,27.05,8.135570047636493,1593.9170047088396,8.135570047636492
121,73.61,3549.01,26.39,7.628754813205102,1672.985430271286,7.628754813205102
122,72.42,3719.42,27.58,8.259757865700424,1757.4649878731582,8.259757865700424
123,73.23,3901.57,26.77,7.92824696890807,1848.1124925447584,7.928246968908069
124,72.42,4087.62,27.58,8.40616440476868,1938.8294240597854,8.40616440476868
125,72.41,4288.54,27.59,7.856328659112982,2035.1022697643477,7.8563286591129815
126,72.2,4497.25,27.8,8.367795408588812,2136.7108151315188,8.367795408588812
127,72.21,4714.75,27.79,8.550198828097507,2240.9237710149805,8.550198828097509
128,71.78,4941.2,28.22,7.960628115921506,2353.2133944884804,7.960628115921506
129,71.71,5181.83,28.29,8.265948221468605,2469.2937616047234,8.265948221468602
130,71.18,5432.39,28.82,7.977944597451149,2590.7855947376274,7.977944597451152
131,71.33,5695.34,28.67,8.287406108065417,2720.565651551162,8.287406108065417
132,71.17,5972.45,28.83,8.036236681432426,2857.2254211909853,8.036236681432426
133,70.62,6266.59,29.38,8.91939459828973,2999.581594472803,8.91939459828973
134,70.59,6574.12,29.41,8.477139847849628,3147.872498307389,8.477139847849628
135,70.28,6894.64,29.72,8.662655482010122,3303.1428353009505,8.662655482010122
136,69.83,7235.93,30.17,8.420279092761712,3470.0740806357444,8.420279092761712
137,70.44,7590.79,29.56,9.007019484824044,3644.9594463999188,9.007019484824044
138,69.91,7963.54,30.09,8.649965317849544,3825.552285409258,8.649965317849546
139,70.04,8356.1,29.96,8.640509244251755,4018.489677727193,8.640509244251755
140,69.4,8766.25,30.6,8.921883209278183,4219.6961724157345,8.921883209278185
141,69.35,9195.97,30.65,8.750285709621142,4432.806360433534,8.750285709621144
142,69.4,9652.15,30.6,8.698275691193052,4654.472877512554,8.698275691193054
143,68.57,10126.4,31.43,9.374705328702337,4886.390311876447,9.374705328702339
144,69.32,10624.82,30.68,8.932950240542036,5129.077865230747,8.932950240542034
145,68.76,11151.77,31.24,8.66270165710444,5384.831399134054,8.662701657104442
146,68.53,11697.26,31.47,9.137237000319077,5648.862228130546,9.137237000319077
147,68.59,12274.67,31.41,8.8352645687608,5932.645027397139,8.8352645687608
148,67.57,12885.56,32.43,8.732989178969595,6232.699325845906,8.732989178969595
149,68.27,13527.5,31.73,9.098192128109849,6542.1960219791645,9.098192128109847
150,67.26,14195.91,32.74,8.864107400071369,6866.273029955918,8.864107400071369
151,68.26,14902.91,31.74,8.950553055537965,7210.464348563135,8.950553055537963
152,66.99,15632.93,33.01,8.710332944267972,7574.629741782763,8.710332944267973
153,68.31,16410.75,31.69,9.059464664095778,7952.885698128699,9.059464664095778
