,E,T,C
0,1000.0,100.0,0.0
1,963.0,63.0,37.0
2,954.0,54.0,46.0
3,950.0,50.0,50.0
4,949.0,49.0,51.0
5,948.0,48.0,52.0
6,946.0,47.0,54.0
7,946.0,47.0,54.0
8,946.5,47.0,53.5
9,945.0,46.0,55.0
10,945.5,46.0,54.5
11,946.0,46.0,54.0
12,945.0,45.0,55.0
13,947.0,47.0,53.0
14,946.0,46.0,54.0
15,947.0,47.0,53.0
16,945.0,45.0,55.0
17,946.0,46.0,54.0
18,946.0,47.0,54.0
19,946.0,45.0,54.0
20,946.0,44.5,54.0
21,945.0,45.0,55.0
22,946.0,46.0,54.0
23,946.5,45.0,53.5
24,947.0,45.0,53.0
25,946.5,46.0,53.5
26,946.0,46.0,54.0
27,947.0,45.0,53.0
28,946.0,46.0,54.0
29,948.0,46.0,52.0
30,947.0,46.0,53.0
31,947.0,45.5,53.0
32,946.0,45.0,54.0
33,947.0,45.5,53.0
34,947.0,44.0,53.0
35,947.0,44.0,53.0
36,948.0,45.0,52.0
37,947.0,44.0,53.0
38,946.0,45.0,54.0
39,947.0,44.0,53.0
40,947.5,45.0,52.5
41,948.0,45.0,52.0
42,948.0,44.0,52.0
43,948.0,45.5,52.0
44,948.0,46.0,52.0
45,948.0,45.0,52.0
46,948.0,45.0,52.0
47,947.0,44.0,53.0
48,948.0,44.5,52.0
49,947.0,45.0,53.0
50,946.0,44.0,54.0
51,947.0,43.5,53.0
52,947.0,45.0,53.0
53,948.0,44.5,52.0
54,947.0,45.0,53.0
55,947.0,44.0,53.0
56,948.0,46.0,52.0
57,947.0,43.5,53.0
58,947.0,44.5,53.0
59,947.5,44.0,52.5
60,947.0,44.0,53.0
61,946.0,43.0,54.0
62,948.0,43.0,52.0
63,947.5,44.0,52.5
64,948.0,44.0,52.0
65,947.5,43.0,52.5
66,948.0,45.0,52.0
67,948.0,44.0,52.0
68,947.0,43.5,53.0
69,947.0,44.0,53.0
70,949.0,44.0,51.0
71,949.0,44.5,51.0
72,948.0,44.0,52.0
73,948.0,43.5,52.0
74,948.0,45.0,52.0
75,948.0,43.5,52.0
76,949.0,44.0,51.0
77,948.0,44.0,52.0
78,949.0,44.5,51.0
79,947.5,44.0,52.5
80,949.0,43.5,51.0
81,948.0,44.0,52.0
82,948.0,43.0,52.0
83,948.0,43.5,52.0
84,948.0,42.0,52.0
85,949.0,44.0,51.0
86,949.0,44.0,51.0
87,950.0,45.0,50.0
88,949.0,44.0,51.0
89,949.0,45.0,51.0
90,950.0,44.5,50.0
91,949.0,45.0,51.0
92,948.0,44.0,52.0
93,948.0,44.0,52.0
94,949.0,44.0,51.0
95,949.0,44.0,51.0
96,950.0,45.0,50.0
